iter	Logloss
249	0.0005828488299
250	0.0005828733104
251	0.0005828391654
252	0.0005828676905
253	0.0005828220504
254	0.0005828432526
255	0.0005828492131
256	0.0005828312039
257	0.0005828481913
258	0.0005828394634
259	0.0005828613894
260	0.0005828630924
261	0.0005828261801
262	0.0005828110235
263	0.0005828001244
264	0.0005828406981
265	0.0005828177077
266	0.0005828140463
267	0.0005828372496
268	0.0005828094482
269	0.0005827357088
270	0.0005827357088
271	0.0005827357088
272	0.0005827357088
273	0.0005827357088
274	0.0005827357088
275	0.0005827357088
276	0.0005827357088
277	0.0005827357088
278	0.0005827357088
279	0.0005827357088
280	0.0005827357088
281	0.0005827357088
282	0.0005827357088
283	0.0005827357088
284	0.0005827357088
285	0.0005827357088
286	0.0005827357088
287	0.0005827357088
288	0.0005827357088
289	0.0005827357088
290	0.0005827357088
291	0.0005827357088
292	0.0005827357088
293	0.0005827357088
294	0.0005827357088
295	0.0005827357088
296	0.0005827357088
297	0.0005827357088
298	0.0005827357088
299	0.0005827357088
